wuc,description,full_context
71ZAA,A1 BEARING CONTROL,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAA A1 BEARING CONTROL
71ZAB,A2 BEARING VARIABLE LOOP,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAB A2 BEARING VARIABLE LOOP
71ZAC,A3 BEARING REFERENCE LOOP,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAC A3 BEARING REFERENCE LOOP
71ZAD,A4 OUTPUT CONTROL,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAD A4 OUTPUT CONTROL
71ZAE,A5 PULSE PAIR DECODER,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAE A5 PULSE PAIR DECODER
71ZAF,A6 BURST DECODER,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAF A6 BURST DECODER
71ZAG,A7 DISTANCE,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAG A7 DISTANCE
71ZAH,A8 DISTANCE RANGE GENERATOR,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAH A8 DISTANCE RANGE GENERATOR
71ZAJ,A9 DISTANCE SERVO,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAJ A9 DISTANCE SERVO
71ZAK,A10 CONTROL INPUT,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAK A10 CONTROL INPUT
71ZAL,A11 INTERROGATOR,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAL A11 INTERROGATOR
71ZAM,A12 IDENTIFICATION,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAM A12 IDENTIFICATION
71ZAN,A13 POWER SUPPLY,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAN A13 POWER SUPPLY
71ZAP,A14 RECEIVER,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAP A14 RECEIVER
71ZAQ,A15 SYNTHESIZER,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAQ A15 SYNTHESIZER
71ZAR,A16 TRANSMITTER,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAR A16 TRANSMITTER
71ZAS,A17 DIPLEXER,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAS A17 DIPLEXER
71ZAT,A18 CHASSIS,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZA0 RT-1159/A RECEIVER TRANSMITTER > 71ZAT A18 CHASSIS
71ZB0,ADAPTER MX9577/A OR MX-10070,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZB0 ADAPTER MX9577/A OR MX-10070
71ZBA,A1 DISTANCE ONE,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZB0 ADAPTER MX9577/A OR MX-10070 > 71ZBA A1 DISTANCE ONE
71ZBB,A2 DISTANCE TWO,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZB0 ADAPTER MX9577/A OR MX-10070 > 71ZBB A2 DISTANCE TWO
71ZBC,A3 BEARING ONE,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZB0 ADAPTER MX9577/A OR MX-10070 > 71ZBC A3 BEARING ONE
71ZBD,A4 BEARING TWO,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZB0 ADAPTER MX9577/A OR MX-10070 > 71ZBD A4 BEARING TWO
71ZBE,A6 DISTANCE DRIVER ONE AND TWO,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZB0 ADAPTER MX9577/A OR MX-10070 > 71ZBE A6 DISTANCE DRIVER ONE AND TWO
71ZBF,A5 DISTANCE DRIVER ONE AND TWO,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZB0 ADAPTER MX9577/A OR MX-10070 > 71ZBF A5 DISTANCE DRIVER ONE AND TWO
71ZBG,A7 DISTANCE DRIVER THREE,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZB0 ADAPTER MX9577/A OR MX-10070 > 71ZBG A7 DISTANCE DRIVER THREE
71ZBH,A8 SYNCHRO DRIVER,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZB0 ADAPTER MX9577/A OR MX-10070 > 71ZBH A8 SYNCHRO DRIVER
71ZC0,MOUNT,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZC0 MOUNT
71ZD0,CONTROL C-10061/A,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZD0 CONTROL C-10061/A
71ZDA,A1 WORD GENERATOR,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZD0 CONTROL C-10061/A > 71ZDA A1 WORD GENERATOR
71ZDB,GPS K01-18/TSEC CRYPTO LOADER UNITS,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZD0 CONTROL C-10061/A > 71ZDB GPS K01-18/TSEC CRYPTO LOADER UNITS
71ZE0,INDICATOR/SWITCH,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZE0 INDICATOR/SWITCH
71ZF0,ANTENNA SELECT SWITCH,71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZF0 ANTENNA SELECT SWITCH
71ZG0,"ANTENNA, PN AT-741B/A","71000 RADIO NAVIGATION SYSTEM > 71Z00 AN/ARN-118 TACAN INSTALLATION > 71ZG0 ANTENNA, PN AT-741B/A"
72000,RADAR NAVIGATION SYSTEM,72000 RADAR NAVIGATION SYSTEM
72100,DOPPLER NAVIGATION SYSTEM,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM
72199,NOC,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 72190 > 72199 NOC
721F0,JUNCTION BOX UNIT,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721F0 JUNCTION BOX UNIT
721FA,A-1 CARD,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721F0 JUNCTION BOX UNIT > 721FA A-1 CARD
721FB,A-2 CARD,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721F0 JUNCTION BOX UNIT > 721FB A-2 CARD
721G0,BLOWER ASSEMBLY,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721G0 BLOWER ASSEMBLY
721H0,INVERTER,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721H0 INVERTER
721J0,AIRFLOW/PRESSURE SWITCH,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721J0 AIRFLOW/PRESSURE SWITCH
721K0,LEDEX RELAY,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721K0 LEDEX RELAY
721L0,BATTERY,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721L0 BATTERY
721M0,SELECT SWITCH DNS,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721M0 SELECT SWITCH DNS
721N0,ANNUNCIATOR LIGHT DNS DR,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721N0 ANNUNCIATOR LIGHT DNS DR
721P0,ANNUNCIATOR LIGHT DNS TAC MIX,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721P0 ANNUNCIATOR LIGHT DNS TAC MIX
721Q0,ANNUNCIATOR LIGHT DNS NAV INOP,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721Q0 ANNUNCIATOR LIGHT DNS NAV INOP
721QA,BATTERY TRAY,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721Q0 ANNUNCIATOR LIGHT DNS NAV INOP > 721QA BATTERY TRAY
721R0,J1 EMP PROTECTION ASSY,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721R0 J1 EMP PROTECTION ASSY
721RA,J1 EMP PROTECTION ASSY CB,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721R0 J1 EMP PROTECTION ASSY > 721RA J1 EMP PROTECTION ASSY CB
721S0,J2 EMP PROTECTION ASSY,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721S0 J2 EMP PROTECTION ASSY
721SA,J2 EMP PROTECTION ASSY CB,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721S0 J2 EMP PROTECTION ASSY > 721SA J2 EMP PROTECTION ASSY CB
721T0,CDU EMP PROTECTION ASSY,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721T0 CDU EMP PROTECTION ASSY
721U0,TRUE AIRSPEED COMPUTER,72000 RADAR NAVIGATION SYSTEM > 72100 DOPPLER NAVIGATION SYSTEM > 721U0 TRUE AIRSPEED COMPUTER
72200,AN/APN-59F/B/SEARCH RADAR SYSTEM,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM
72210,BULKHEAD WAVEGUIDE,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 72210 BULKHEAD WAVEGUIDE
72220,60 DEGREES WAVEGUIDE ELBOW,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 72220 60 DEGREES WAVEGUIDE ELBOW
72230,60 DEGREES WAVEGUIDE FORM,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 72230 60 DEGREES WAVEGUIDE FORM
72240,WAVEFORM CONVERTER CV-402A,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 72240 WAVEFORM CONVERTER CV-402A
72299,NOC,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 72290 > 72299 NOC
722A0,ANTENNA AS-663C,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722A0 ANTENNA AS-663C
722AA,MOTOR FILTER ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722A0 ANTENNA AS-663C > 722AA MOTOR FILTER ASSY
722AB,SWITCHING ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722A0 ANTENNA AS-663C > 722AB SWITCHING ASSY
722AC,HEADING MARKER ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722A0 ANTENNA AS-663C > 722AC HEADING MARKER ASSY
722AD,SELECTOR ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722A0 ANTENNA AS-663C > 722AD SELECTOR ASSY
722B0,ANTENNA AS-1199B,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722B0 ANTENNA AS-1199B
722BA,MOTOR FILTER ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722B0 ANTENNA AS-1199B > 722BA MOTOR FILTER ASSY
722BB,SWITCHING ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722B0 ANTENNA AS-1199B > 722BB SWITCHING ASSY
722BC,HEADING MARKER ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722B0 ANTENNA AS-1199B > 722BC HEADING MARKER ASSY
722BD,SELECTOR ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722B0 ANTENNA AS-1199B > 722BD SELECTOR ASSY
722C0,RECEIVER TRANSMITTER RT-831B,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B
722CA,IF PREAMPLIFIER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CA IF PREAMPLIFIER
722CB,IF VIDEO AMPLIFIER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CB IF VIDEO AMPLIFIER
722CC,RADAR BEACON AFC,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CC RADAR BEACON AFC
722CD,"+/-12 VDC, -24 VDC POWER SUPPLY","72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CD +/-12 VDC, -24 VDC POWER SUPPLY"
722CE,TRANSMITTER SUBASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CE TRANSMITTER SUBASSY
722CF,DELAY MODULATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CF DELAY MODULATOR
722CG,PRF GENERATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CG PRF GENERATOR
722CH,OVERLOAD MODULATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CH OVERLOAD MODULATOR
722CJ,PRETRIGGER ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CJ PRETRIGGER ASSY
722CK,MICROWAVE ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CK MICROWAVE ASSY
722CL,"+150 VDC, +250 VDC, +300 VDC, -105 VDC POWER SUPPLY","72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CL +150 VDC, +250 VDC, +300 VDC, -105 VDC POWER SUPPLY"
722CM,"+300 VDC, +150 VDC POWER SUPPLY","72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CM +300 VDC, +150 VDC POWER SUPPLY"
722CN,"150 VDC, 225 VDC POWER SUPPLY","72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722C0 RECEIVER TRANSMITTER RT-831B > 722CN 150 VDC, 225 VDC POWER SUPPLY"
722D0,INDICATOR IP-268B,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722D0 INDICATOR IP-268B
722DA,VIDEO AMPLIFIER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722D0 INDICATOR IP-268B > 722DA VIDEO AMPLIFIER
722DB,DEFLECTION COIL ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722D0 INDICATOR IP-268B > 722DB DEFLECTION COIL ASSY
7.22E+02,INDICATOR IP-239C,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C
722EA,PANEL POWER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C > 722EA PANEL POWER
722EB,POWER SUPPLY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C > 722EB POWER SUPPLY
722EC,VIDEO MIXER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C > 722EC VIDEO MIXER
722ED,RANGE CONTROL,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C > 722ED RANGE CONTROL
722EE,AMPLIFIER ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C > 722EE AMPLIFIER ASSY
722EF,SWEEP GENERATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C > 722EF SWEEP GENERATOR
722EG,PULSE GENERATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C > 722EG PULSE GENERATOR
722EH,MARKER GENERATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C > 722EH MARKER GENERATOR
722EJ,DEFLECTION COIL ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722E0 INDICATOR IP-239C > 722EJ DEFLECTION COIL ASSY
722F0,POWER SUPPLY PP-1073C,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722F0 POWER SUPPLY PP-1073C
722FA,SWEEP AMPLIFIER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722F0 POWER SUPPLY PP-1073C > 722FA SWEEP AMPLIFIER
722FB,REGULATOR ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722F0 POWER SUPPLY PP-1073C > 722FB REGULATOR ASSY
722FC,SERVOAMPLIFIER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722F0 POWER SUPPLY PP-1073C > 722FC SERVOAMPLIFIER
722G0,ECA AMPLIFIER AM853B,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722G0 ECA AMPLIFIER AM853B
722GA,SERVOAMPLIFIER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722G0 ECA AMPLIFIER AM853B > 722GA SERVOAMPLIFIER
722H0,SYNCHRONIZER SN-198C,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722H0 SYNCHRONIZER SN-198C
722HA,VOLTAGE REGULATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722H0 SYNCHRONIZER SN-198C > 722HA VOLTAGE REGULATOR
722HB,VIDEO MIXER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722H0 SYNCHRONIZER SN-198C > 722HB VIDEO MIXER
722HC,SWEEP GENERATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722H0 SYNCHRONIZER SN-198C > 722HC SWEEP GENERATOR
722HD,PULSE GENERATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722H0 SYNCHRONIZER SN-198C > 722HD PULSE GENERATOR
722HE,MARKER GENERATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722H0 SYNCHRONIZER SN-198C > 722HE MARKER GENERATOR
722J0,MARKER GENERATOR SG-461A,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722J0 MARKER GENERATOR SG-461A
722K0,GENERATOR CONTROL D-3939,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722K0 GENERATOR CONTROL D-3939
722KA,GROUND RANGE ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722K0 GENERATOR CONTROL D-3939 > 722KA GROUND RANGE ASSY
722KB,AZIMUTH ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722K0 GENERATOR CONTROL D-3939 > 722KB AZIMUTH ASSY
722KC,GROUND CLEARANCE ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722K0 GENERATOR CONTROL D-3939 > 722KC GROUND CLEARANCE ASSY
722L0,RADAR SET CONTROL C-1242A,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722L0 RADAR SET CONTROL C-1242A
722M0,ANTENNA CONTROL L-4006,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722M0 ANTENNA CONTROL L-4006
722N0,SYNCHRONIZER CONTROL C-2302,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722N0 SYNCHRONIZER CONTROL C-2302
722P0,FAN HD-150,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722P0 FAN HD-150
722Q0,MOUNT MT-1497,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722Q0 MOUNT MT-1497
722R0,MOUNT MT-1567,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722R0 MOUNT MT-1567
722S0,MOUNT MS91401S1,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722S0 MOUNT MS91401S1
722T0,MOUNT MT-1254,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722T0 MOUNT MT-1254
722U0,MOUNT MT-1644,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722U0 MOUNT MT-1644
722V0,MOUNT 150347,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722V0 MOUNT 150347
722W0,STAB DATA GENERATOR CN-221A,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722W0 STAB DATA GENERATOR CN-221A
722X0,RECEIVER TRANSMITTER RT-289G,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722X0 RECEIVER TRANSMITTER RT-289G
722XA,IF PREAMPLIFIER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722X0 RECEIVER TRANSMITTER RT-289G > 722XA IF PREAMPLIFIER
722XB,IF VIDEO AMPLIFIER,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722X0 RECEIVER TRANSMITTER RT-289G > 722XB IF VIDEO AMPLIFIER
722XC,RADAR BEACON AFC,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722X0 RECEIVER TRANSMITTER RT-289G > 722XC RADAR BEACON AFC
722XD,+/-12 VDC -24 VDC POWER SUPPLY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722X0 RECEIVER TRANSMITTER RT-289G > 722XD +/-12 VDC -24 VDC POWER SUPPLY
722XE,TRANSMITTER SUBASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722X0 RECEIVER TRANSMITTER RT-289G > 722XE TRANSMITTER SUBASSY
722XF,DELAY MODULATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722X0 RECEIVER TRANSMITTER RT-289G > 722XF DELAY MODULATOR
722XG,PRF GENERATOR,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722X0 RECEIVER TRANSMITTER RT-289G > 722XG PRF GENERATOR
722XH,MICROWAVE ASSY,72000 RADAR NAVIGATION SYSTEM > 72200 AN/APN-59F/B/SEARCH RADAR SYSTEM > 722X0 RECEIVER TRANSMITTER RT-289G > 722XH MICROWAVE ASSY
